title,artist,duration
Until You Love Someone,Dean Martin,165.66812
Part One From Triomusic,Strata,377.67791
Hello Young Lovers (LP Version),James Darren,145.00526
Same Man,Till West & DJ Delicious,153.28608
Quiero Ir Ao Mar,Carlos Nuñez,215.35302
The Owl and the Pussy-cat,Igor Stravinsky,156.70812
Set You Free This Time,Gene Clark,168.38485
Bloco Da Solidao (1996 Digital Remaster),Maysa,150.25587
Will You Love Me Tomorrow,The Shirelles,159.76444
Stille nacht_ heilige nacht,The American Boychoir,230.26893
Nine Ways,JDS,465.60608
Northern Downpour (Album Version),Panic At The Disco,247.77098
Bad Seed,Jan Howard,165.98159
Exchange,Abraham Laboriel,368.16934
Marie D'Aquitaine,Michèle Arnaud,176.27383
Oh My God,Sticky Fingaz,266.4224
Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,111.0722
Hoochie Coochie Man,The Jeff Healey Band,313.7824
Ftei O Erotas,Angela Dimitriou,265.37751
The Second Summer Of Love,Danny Wilson,167.20934
Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,240.61342
Don't Phunk With My Heart,Java,356.41424
Give It What U Got,SWAMI featuring Asuivre,260.28363
Dancing To A Standstill,The Black Velvet Band,256.39138
Isla del Luna,Lisa Lynne,316.49914
Spirit,Pe'z,252.57751
Another Long One,Shawn Colvin,224.60036
Leng Jing,Stephy Tang,214.12526
OAKtown,Casual,259.44771
Larger Than Life,Backstreet Boys,236.25098
I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,43.36281
Baby Come To Me,Kenny G featuring Daryl Hall,236.93016
Den Pai Alo,Christos Dantis,243.82649
It Wont Be Christmas,David Martin,241.47546
Knocked Out Of The Park,John Davis,183.17016
Salt In NYC,Trafik,424.12363
Wessex Loses a Bride,Nick Ingman;Gavyn Wright,111.62077
Erica (2005 Digital Remaster),Eddie Calvert,138.63138
Blessed Assurance,Glad,270.602
Loaded Like A Gun,Steel Rain,173.19138
Rumba De Barcelona,Los Manolos,218.38322
Clementina Santafè,Gloriana,153.33832
Wild Rose (Back 2 Basics Mix),Bombay Rockers,230.71302
Kutt Free (DJ Volume Remix),Jinx,407.37914
Ten Tonne,Chase & Status,337.68444
A Higher Place (Album Version),Tom Petty,236.17261
Sono andati? Fingevo di dormire,Montserrat Caballé;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,511.16363
Got My Mojo Workin,Pucho & His Latin Soul Brothers,338.23302
Get Your Head Stuck On Your Neck,Soul Mekanik,45.66159
Jenny Take a Ride,Mitch Ryder,207.43791
Sonnerie lalaleulé hi houuu,Blingtones,29.54404
Midnight Star,Luna Orbit Project,335.51628
Native Soul,Danilo Perez,197.19791
Der Kleine Dompfaff,Line Renaud,152.92036
A Whiter Shade Of Pale (Live @ Fillmore West),King Curtis,326.00771
The Ballad Of Sleeping Beauty,Sophie B. Hawkins,305.162
Streets On Fire (Explicit Album Version),Lupe Fiasco,279.97995
Music is what we love,Wilks,261.51138
City Slickers,Marc Shaiman,149.86404
Intro,40 Grit,75.67628
Harajuku Girls,Gwen Stefani,290.55955
Prognosis,Steve Morse,363.85914
Living Hell,Bitter End,282.43546
Small World,Ethel Merman,135.31383
Truck Driving Man/Down In The Caribbean,Leon Russell & New Grass Revival,221.30893
Swallow The Knife (Live) (Segue),Story Of The Year,75.57179
Mayday,Natural Elements,338.1024
Lake Of Dreams,Lisa Lynne,298.10893
Because Of You,Neil Sedaka,170.84036
Un Peu D'Amour Et D'Amitié,Maurice Larcange,215.37914
Rattlesnake!,A Static Lullaby,213.49832
Disappeared,John Wesley_ John Wesley,351.08526
Doppelgänger [Qliphothic Phantasmagoria],Coph Nia,658.02404
Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix),Tabu feat. Mitzib,474.61832
Ghost Town Rituals (Album Version),Nights Like These,305.89342
Morning Glory,Oasis,301.92281
Rudolph The Red-Nosed Reindeer,John Davis & Emma Doyle,135.52281
Tomorrow Gone,Stew,179.9571
I don't Want to Be Alone Tonight,Jauida,269.76608
Just A Little Lovin' (Will Go A Long Way),Eddy Arnold,166.16444
Shameless,All Time Low,221.67465
And I Love You So,Brian Dullaghan,212.94975
L' Envers Du Décor,Richard Galliano,261.74649
Quiet Time,Regina Belle,307.33016
Little Sister,Debbie Davies,225.67138
Song For Mom (LP Version),STEVE CAMP,296.14975
All Over Me,Jay Tee & Baby Bash,203.67628
I Hate You,The Stolen Minks,56.42404
From The Blind (LP Version),Daath,230.86975
Misanthrope,Extasick,134.03383
Chains Chains (Live In Hammersmith),UFO,212.61016
The Date (Remix By Ana Rago),Avril - Remix By Ana Rago,188.39465
As My Fire Flies,Pat Travers,152.99873
We Wish You A Merry Christmas,SNOWPATROL,233.03791
Böse,Die Fantastischen Vier,149.99465
Saturday Night Is The Loneliest Night In The Week,Jeanie Lambe & The Danny Moss Quartet,152.0322
A Mi No Me Importa,Nelson Ned,200.48934
BYOB (Explicit Album Version),Yung Joc,193.64526
Le Presbytère n'a rien perdu de son Charme,Philippe Sarde,158.82404
Ven Morena,Orquesta Aragón,173.68771
Brighton by the Sea,Jason Miles,269.40036
CHAOS INTRO,State of Chaos,176.90077
Bloody Pig Pile (Live),Dropkick Murphys,196.72771
Hex Breaker,Taint,281.46893
The Melting Moon (Edit),VHS Or Beta,224.20853
Hawaiian Chimes,Leonard Kwan,170.31791
Turn Around,True Believers,361.53424
L'accordéoniste,Les Hurlements D'leo,182.04689
Tumba Tumba,Charanga Forever,367.43791
Why don't you eat where you slept last night ?,Zuzu Bollin,175.90812
Suffocating Under Words Of Sorrow (What Can I Do),Bullet For My Valentine,215.53587
Im Moving On,The Hit Factory,234.70975
Deep Night/Softly As In A Morning Sunrise (Medley),Terry Snyder,340.11383
Let Me Show You [I Just Want To Make You Smile],Marcus Miller,280.13669
Monster For Music,Beatnuts,170.52689
Complain,Ayo,212.71465
Daydreaming [Jakwob Remix],Kid Sister,277.2371
Dansende Foran Speilet,Mons Leidvin Takle,120.92036
Ease,Public Image Ltd,492.30322
Everchanging,Rise Against,260.8322
Too much informa,Sizzla,203.96363
L'insidieuse (Live),Richard Galliano,309.65506
So Hot,Helen Love,81.97179
Youlan_ Lonely Orchid (solo guqin),David Mingyue Liang,757.99465
Forbidden Fruit,Pursuit Of Happiness,196.49261
Recorda-Me,Bobby Hutcherson,352.57424
Lady Of Your Calibre,Gregory Isaacs,221.83138
Italian For Goodbye (skit),The Pharcyde,11.59791
Anti Geroi,Azis,281.88689
Stronger Than Me,Amy Winehouse,256.10404
Only For The Young,George Lopez,345.23383
T'as 16 ans demain,Les Hou-Lops,122.69669
Serene,The Cosmosamatics,338.36363
So Jah Seh,Jackie Edwards,256.62649
Joy In The Journey (The Final Word Album Version),Michael Card,182.72608
Chorinho Pra Ele (Live),Richard Galliano,197.17179
Warrior's Quest,Ensiferum,291.02975
Medley Leïla Chico,Leila Chicot,293.27628
The Hustle,The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,334.78485
Rakkauden satu - Histoire d'un Amour -,Erkki Junkkarinen,215.82322
God Bless You (Goddamn it),A Static Lullaby,237.42649
The Illusionist,Scar Symmetry,271.5424
La Route Est Belle,Oztara,207.51628
Urgence,Sonia Dersion,269.87057
Pero Me Acuerdo De Tí,Christina Aguilera,266.73587
Trapped In Reality,Headhunter,312.76363
Our Darkest Days,Eighteen Visions,172.19873
California Dreamin' (LP Version),Baby Huey & The Baby Sitters,288.36526
Dumb Woman Blues,Elmore James,191.13751
Letting You Back In,Rising Lion,280.45016
Hear Me Lord (2001 Digital Remaster),George Harrison,359.73179
Don't Let Go,Weezer,180.97587
U Don't Hear Me Tho' (Street Mix),Rodney O & Joe Cooley,217.41669
Lonely Street,Boots Randolph,150.20363
Undertow,Jackson United,204.93016
12 Seasons of Love,The Cosmosamatics,515.97016
Courtyard,Bobbie Gentry,177.57995
Have You Ever Seen The Rain,Creedence Clearwater Revived,257.59302
Cry Baby,The Johnny Otis Orchestra,182.15138
Interlude,B.A.D.,102.03383
Terra,Luar Na Lubre,251.81995
Mother,Circular,59.89832
A La Memoria Del Muerto,Fruko Y Sus Tesos,261.90322
Sayin' Dope,The Bucketheads,365.71383
When The World Is Running Down_ You Make The Best Of What's Still Around,The Police,216.42404
My Bonnie Lies Over the Ocean,Kinky,101.14567
Now You Know,The Real Kids,222.11873
I'm Sitting Here Waiting,Eddie Boyd,203.36281
Korrupted - Remix,Tha Chamba,281.75628
Sex Objekt,Jack Orsen & Taktlo$$,200.51546
Rain / Ekoln,Olov Johansson_ Catriona Mckay,469.68118
Reason With The Beast,Shriekback,113.60608
As Diehard As They Come (Album Version),Hatebreed,136.95955
No Unexpected Guests,John Frizzell,133.19791
Walls And Cannonballs (Album),Sister Hazel,195.36934
Trouble In The City,J.J. Cale,202.94485
Dark Angel,Precious Bryant,193.72363
Knocked Up,Kings Of Leon,466.65098
Ven Conmigo/Perdoname (Live),Selena,388.51873
Taste Of Dis (Explicit Version),Brooke Valentine,261.53751
Prvni vesela,Krystof,262.55628
If You'd Only Talk To Me (Bonus Track),Claire Hamill,205.42649
Librado Maldonado,Los Originales De San Juan,263.6273
Crass Commercialism,Black Flag,1030.19057
Flores Negras,Barbarito Diez,183.43138
Rollercoaster Ride,Aaron Watson,217.39057
Turning Away,Mary Black,293.92934
Metal from Hell...22nd Century,Satan's Host,332.7473
The Girl I Find (LP Version),The Impressions,159.29424
Panda Bear,Owl City,187.6371
Drifting From Town To Town,Bobby Bland,181.49832
Negativ Song,Headliners,169.56036
The Lords Prayer,Jane Winther,145.68444
Nubia (LP Version),The Rascals,223.89506
Blake's Worried Blues,Blind Blake,186.90567
You're My World,Emilia,174.81098
Ojos Gitanos,Cómplices,307.56526
Mira Nina,Emilio,165.22404
Solamente Una Vez,Nana Caymmi,216.86812
Zolte Slonie,Kasia Stankiewicz,304.06485
Sahti Waari,Turisas,146.59873
Nina Nina,Chéco Feliciano And Joe King,273.65832
Only Do for Love,Cache Cache,245.49832
Arrival,David Hudson,320.91383
Las Murallas De Jericó,David Summers,321.33179
Megatrend,Rummage,178.12853
In The Name of the Father,Adr Lavey,194.45506
I Can't Tame Wild Women,Bill Boyd's Cowboy Ramblers,203.75465
A Somber Wind from a Distant Shore (Album),Canis Dirus,722.20689
Little Timmy,Vickie Winans,358.71302
Erica,Justin,149.49832
Marcando El Ritmo Al Caminar,La Portuaria,132.25751
To Agalma,Antonis Remos,140.64281
Damisela Encantadora,Percy Faith And His Orchestra,152.13669
You Are My Memoir,Stars Like Fleas,264.51546
Donizetti: Roberto Devereux: L'ore trascorrono...,Gaetano Donizetti,206.68036
Pienso En Ti,Shakira,148.1922
This Time I'll Be Sweeter,Maysa,230.3473
Bus Station Blues (Live),Little Freddie King,443.55873
Mr. Prime Minister,Ms. Dynamite,286.32771
I Love You And You Love Me,Andy Russell,156.94322
A New Hope,Blink-182,225.12281
Como La Flor (2005 Re-mastering) (Live),Selena,329.58649
Ponto,Kali,349.83138
Great Is Thy Faithfulness,Vickie Winans,287.03302
Party In The Burbs,John Brown,151.27465
Compulsory Resurrection,Abysmal Dawn,250.3571
Lobotomy,Chaotica,243.25179
The tears I cried,Lara & The Gumbo Lickers,232.85506
Party Til The Cows Come Home,Elvin Bishop,254.56281
Don't Cry_ Joe,Gordon Jenkins,190.48444
La Excursion,1. Futurologischer Congress,107.49342
Big Balls And Cow Town,Asleep At The Wheel,251.37587
Lie Down And Be Counted (2007 Digital Remaster),Neil Innes,190.74567
Your Amazing Grace (feat. Raul Midón),Marcus Miller,409.05098
Into A Swan,Siouxsie,234.55302
To The Stars,Claire Hamill,123.71546
The Joes Mobilize,Alan Silvestri,504.05832
I Got To Quit My Baby,Sunnyland Slim,147.77424
So Unhappy,Byther Smith,269.7922
San Cristobal,Dusminguet,199.13098
Kashmiri Love Song,Rudolph Valentino,184.73751
Marca de Amor Não Sai,Sylvia Patricia,259.34322
Ammonite,Zeromancer,362.31791
If I Ruled The World,Regina Belle,274.80771
The Sweep,Two Man Advantage,50.83383
Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),Green Day,340.79302
I Love You,Ayo,229.25016
This Christmas (LP Version),Donny Hathaway,231.18322
Curvy Cola Bottle Body,Chico,332.01587
Volcán,KALIMBA,352.67873
Alkohol,SKOLD vs. KMFDM,327.88853
Heart it Races (Frank Tetaz Remix),Architecture In Helsinki,345.75628
Very Well,Wailing Souls,214.38649
Village Attack/ The Arrest,Kitaro,81.50159
Lesson Learned,Alice In Chains,256.522
(I Heard That) Lonesome Whistle,Bobby Darin,163.52608
Here Comes The Hotstepper,Ini Kamoze,248.92036
Almost Genuine,9th Wonder featuring Defcon_ Phonte,289.54077
Can't Shake That Girl,The Real Kids,148.06159
What You Deserve (Album Version),Ill Nino,180.50567
Es dificil,De La Ghetto,280.45016
The Sweetest Curse,Baroness,270.52363
We're Back,DMX / Eve / Jadakiss,265.22077
Talk Like POP,Melt Banana,51.61751
Fuego Caliente,M.I.K.E.,514.7424
Un Tipo Como Yo,Willie Rosario,281.41669
The Thrill Is Gone,Jude Taylor & His Burning Flames,260.46649
Slave To The Wage,Placebo,246.96118
Hit The Lights,Metallica,252.3424
Cancion Para Mi Muerte,Sui Generis,234.52689
Have You Seen Her,The Red Telephone,273.55383
Don't Tell Me,T-Bone,229.09342
Karuna,Bill Douglas,331.07546
Lil Mama Getdown,DJ Spinn featuring Traxman,195.49995
Closing Scene,The Radio Dept.,256.02567
Get It For Free,Mötley Crüe,254.01424
Feelings,Shy FX & T Power,380.44689
If You Love Me,Becky Baeling,247.66649
Still There For Me,Keb' Mo',190.56281
Allein,UKW,266.762
Doctor Of Hearts (Album Version),THE CHIFFONS,166.922
La Vida En Rosa,S. Solis y Orquesta,182.20363
Crying Time,Commander Cody And His Lost Planet Airmen,188.70812
You Can Always Come Home,Commissioned,342.83057
Little Bitty Pretty One,Dee Clark,141.19138
Shooting Stars,Cauterize,240.43057
The Cookie Bakers of the Night,Laurie Berkner,233.45587
Whip It,DJ Slugo,199.20934
The Blessing,Joi,333.24363
Citizen Of The Planet,Simon & Garfunkel,194.35057
